,wk_ending,itemdesc,totunits,wavg_price,agc_atpd,total_week_units,item_proportion,rev,adus,cost,cost_total,profit
1354,2015-05-23,Big Mac,25114.0,3.99,1357.0904761904762,1442517.0,0.0174098468163633,100204.86,3587.714285714286,2.343206349206349,58847.28425396825,41357.57574603175
1355,2015-05-23,Cheeseburger,68489.0,1.0,1357.0904761904762,1442517.0,0.0474788165408102,68489.0,9784.142857142857,0.5994920634920634,41058.61193650793,27430.38806349207
1356,2015-05-23,Chicken Category,208440.0,2.32,1357.0904761904762,1442517.0,0.144497430532881,483580.8,29777.14285714286,1.256063492063492,261813.8742857143,221766.9257142857
1357,2015-05-23,Core QP and QPC,31107.0,3.89,1357.0904761904762,1442517.0,0.0215643905756396,121006.23,4443.857142857143,2.3965079365079363,74548.17238095237,46458.05761904763
1358,2015-05-23,Hamburger,19233.0,0.89,1357.0904761904762,1442517.0,0.0133329451230037,17117.37,2747.5714285714284,0.534,10270.422,6846.9479999999985
1359,2015-05-23,Large Burgers,60918.0,4.13,1357.0904761904762,1442517.0,0.0422303515313857,251591.34,8702.57142857143,2.4187936507936505,147348.0716190476,104243.26838095239
1360,2015-05-23,McChicken,73026.0,1.0,1357.0904761904762,1442517.0,0.0506240134431691,73026.0,10432.285714285714,0.6295555555555555,45973.924,27052.076
1361,2015-05-23,McDouble,65874.0,1.29,1357.0904761904762,1442517.0,0.0456660129482009,84977.46,9410.57142857143,0.723968253968254,47690.68476190477,37286.77523809524
1362,2015-05-23,Total All Day Breakfast Items,336305.0,1.51,1357.0904761904762,1442517.0,0.2331376337332593,507820.55,48043.57142857143,1.0560370370370369,355150.5357407407,152670.01425925927
1363,2015-05-23,Total Fries,283415.0,1.47,1357.0904761904762,1442517.0,0.1964725545695475,416620.05,40487.857142857145,0.8779365079365079,248820.37539682537,167799.67460317462
1364,2015-05-30,Beef Category,255799.0,1.81,1276.0984126984126,1367445.0,0.1870634650753778,462996.19,36542.71428571428,1.1144761904761904,285081.895047619,177914.294952381
1365,2015-05-30,Big Mac,23839.0,3.99,1276.0984126984126,1367445.0,0.017433242287624,95117.61,3405.5714285714284,2.343206349206349,55859.696158730156,39257.913841269845
1366,2015-05-30,Cheeseburger,66625.0,1.0,1276.0984126984126,1367445.0,0.0487222520832647,66625.0,9517.857142857143,0.5994920634920634,39941.15873015873,26683.841269841272
1367,2015-05-30,Chicken Category,199395.0,2.37,1276.0984126984126,1367445.0,0.1458157366475434,472566.15,28485.0,1.256063492063492,250452.78,222113.37000000002
1368,2015-05-30,Core QP and QPC,27561.0,4.28,1276.0984126984126,1367445.0,0.0201551067867446,117961.08,3937.285714285714,2.3965079365079363,66050.15523809523,51910.92476190477
1369,2015-05-30,Hamburger,18353.0,0.89,1276.0984126984126,1367445.0,0.0134213807502312,16334.17,2621.8571428571427,0.534,9800.502,6533.668
1370,2015-05-30,Large Burgers,55847.0,4.12,1276.0984126984126,1367445.0,0.0408403994310557,230089.64,7978.142857142857,2.4187936507936505,135082.369015873,95007.27098412701
1371,2015-05-30,McChicken,71313.0,1.0,1276.0984126984126,1367445.0,0.0521505435319153,71313.0,10187.57142857143,0.6295555555555555,44895.49533333333,26417.504666666668
1372,2015-05-30,McDouble,63085.0,1.29,1276.0984126984126,1367445.0,0.0461334825166642,81379.65000000001,9012.142857142857,0.723968253968254,45671.537301587305,35708.112698412704
1373,2015-05-30,Total All Day Breakfast Items,319684.0,1.5,1276.0984126984126,1367445.0,0.2337819802624602,479526.0,45669.142857142855,1.0560370370370369,337598.1441481481,141927.85585185193
1374,2015-05-30,Total Fries,265944.0,1.49,1276.0984126984126,1367445.0,0.1944824106271184,396256.56,37992.0,0.8779365079365079,233481.94666666666,162774.61333333334
1375,2015-06-06,Beef Category,285153.0,1.75,1400.731746031746,1516644.0,0.1880157769390839,499017.75,40736.142857142855,1.1144761904761904,317796.22914285713,181221.52085714287
1376,2015-06-06,Big Mac,28547.0,3.99,1400.731746031746,1516644.0,0.0188224791051822,113902.53,4078.142857142857,2.343206349206349,66891.51165079365,47011.01834920635
1377,2015-06-06,Cheeseburger,73935.0,1.0,1400.731746031746,1516644.0,0.0487490802060338,73935.0,10562.142857142857,0.5994920634920634,44323.445714285706,29611.554285714294
1378,2015-06-06,Chicken Category,221734.0,2.09,1400.731746031746,1516644.0,0.1462004267316522,463424.06,31676.285714285717,1.256063492063492,278511.98234920634,184912.07765079365
1379,2015-06-06,Core QP and QPC,29979.0,4.21,1400.731746031746,1516644.0,0.0197666690403285,126211.59,4282.714285714285,2.3965079365079363,71844.91142857142,54366.67857142858
1380,2015-06-06,Hamburger,19981.0,0.89,1400.731746031746,1516644.0,0.0131744826076521,17783.09,2854.428571428572,0.534,10669.854000000001,7113.235999999999
1381,2015-06-06,Large Burgers,63443.0,4.14,1400.731746031746,1516644.0,0.0418311746197525,262654.02,9063.285714285714,2.4187936507936505,153455.52558730156,109198.49441269846
1382,2015-06-06,McChicken,79258.0,1.0,1400.731746031746,1516644.0,0.052258802988704,79258.0,11322.57142857143,0.6295555555555555,49897.31422222222,29360.685777777777
1383,2015-06-06,McDouble,70687.0,1.29,1400.731746031746,1516644.0,0.046607509738607,91186.23,10098.142857142857,0.723968253968254,51175.14396825397,40011.086031746025
1384,2015-06-06,Total All Day Breakfast Items,348249.0,1.54,1400.731746031746,1516644.0,0.2296181569306969,536303.46,49749.857142857145,1.0560370370370369,367763.84211111104,168539.61788888893
1385,2015-06-06,Total Fries,295678.0,1.48,1400.731746031746,1516644.0,0.1949554410923064,437603.44,42239.71428571428,0.8779365079365079,259586.51079365078,178016.92920634922
1386,2015-06-13,Beef Category,287246.0,1.95,1345.9920634920634,1505545.0,0.1907920387633714,560129.7,41035.142857142855,1.1144761904761904,320128.8278095238,240000.87219047616
1387,2015-06-13,Big Mac,44589.0,3.99,1345.9920634920634,1505545.0,0.029616517606581,177910.11000000002,6369.857142857143,2.343206349206349,104481.2279047619,73428.88209523812
1388,2015-06-13,Cheeseburger,70783.0,1.0,1345.9920634920634,1505545.0,0.0470148683699258,70783.0,10111.857142857143,0.5994920634920634,42433.84673015872,28349.153269841278
1389,2015-06-13,Chicken Category,217344.0,2.12,1345.9920634920634,1505545.0,0.144362340547775,460769.28,31049.14285714286,1.256063492063492,272997.8636190476,187771.4163809524
1390,2015-06-13,Core QP and QPC,28191.0,3.93,1345.9920634920634,1505545.0,0.0187247807272449,110790.63,4027.285714285714,2.3965079365079363,67559.95523809524,43230.67476190477
1391,2015-06-13,Hamburger,19332.0,0.89,1345.9920634920634,1505545.0,0.0128405328303039,17205.48,2761.714285714286,0.534,10323.288,6882.191999999999
1392,2015-06-13,Large Burgers,77487.0,4.08,1345.9920634920634,1505545.0,0.0514677409177407,316146.96,11069.57142857143,2.4187936507936505,187425.0636190476,128721.89638095241
1393,2015-06-13,McChicken,76198.0,1.0,1345.9920634920634,1505545.0,0.0506115725534607,76198.0,10885.42857142857,0.6295555555555555,47970.87422222222,28227.12577777778
1394,2015-06-13,McDouble,65546.0,1.29,1345.9920634920634,1505545.0,0.0435363937975948,84554.34,9363.714285714286,0.723968253968254,47453.223174603176,37101.11682539682
1395,2015-06-13,Total All Day Breakfast Items,334588.0,1.5,1345.9920634920634,1505545.0,0.2222371300758197,501882.0,47798.28571428572,1.0560370370370369,353337.3201481481,148544.6798518519
1396,2015-06-13,Total Fries,284241.0,1.47,1345.9920634920634,1505545.0,0.1887960838101817,417834.27,40605.857142857145,0.8779365079365079,249545.55095238093,168288.7190476191
1397,2015-06-20,Beef Category,292087.0,1.99,1338.9761904761904,1496913.0,0.195126236461304,581253.13,41726.71428571428,1.1144761904761904,325524.00704761903,255729.12295238097
1398,2015-06-20,Big Mac,49724.0,3.99,1338.9761904761904,1496913.0,0.0332176953503643,198398.76,7103.428571428572,2.343206349206349,116513.5925079365,81885.16749206351
1399,2015-06-20,Cheeseburger,70331.0,1.0,1338.9761904761904,1496913.0,0.0469840264597875,70331.0,10047.285714285714,0.5994920634920634,42162.87631746031,28168.12368253969
1400,2015-06-20,Chicken Category,212347.0,2.33,1338.9761904761904,1496913.0,0.1418566075650355,494768.51,30335.285714285717,1.256063492063492,266721.31434920634,228047.19565079367
1401,2015-06-20,Core QP and QPC,27192.0,3.92,1338.9761904761904,1496913.0,0.0181653843610149,106592.64,3884.571428571429,2.3965079365079363,65165.8438095238,41426.7961904762
1402,2015-06-20,Hamburger,19164.0,0.89,1338.9761904761904,1496913.0,0.0128023472306005,17055.96,2737.714285714286,0.534,10233.576000000001,6822.383999999998
1403,2015-06-20,Large Burgers,81630.0,4.09,1338.9761904761904,1496913.0,0.0545322273238324,333866.7,11661.42857142857,2.4187936507936505,197446.12571428568,136420.57428571433
1404,2015-06-20,McChicken,73256.0,1.0,1338.9761904761904,1496913.0,0.0489380478357793,73256.0,10465.142857142857,0.6295555555555555,46118.72177777778,27137.278222222223
1405,2015-06-20,McDouble,62284.0,1.29,1338.9761904761904,1496913.0,0.0416082965409479,80346.36,8897.714285714286,0.723968253968254,45091.63873015873,35254.72126984127
1406,2015-06-20,Total All Day Breakfast Items,325594.0,1.47,1338.9761904761904,1496913.0,0.217510302869973,478623.18,46513.42857142857,1.0560370370370369,343839.323037037,134783.856962963
1407,2015-06-20,Total Fries,283304.0,1.44,1338.9761904761904,1496913.0,0.1892588280013601,407957.76,40472.0,0.8779365079365079,248722.92444444445,159234.83555555556
1408,2015-06-27,Beef Category,290147.0,2.01,1320.6222222222225,1489763.0,0.1947605088863128,583195.47,41449.57142857143,1.1144761904761904,323361.9232380952,259833.54676190478
